YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR,PS,WS50M,WD50M
2014,1,31,9,4.09,64,0,99.4,4.03,78.71
2014,1,31,10,4.39,59.88,0,99.42,3.78,86.09
2014,1,31,11,4.58,54.25,0,99.41,3.4,103.01
2014,1,31,12,4.64,50.31,0,99.36,2.77,120.55
2014,1,31,13,4.88,51.06,0,99.34,2.18,125.23
2014,1,31,14,5,53.44,0,99.32,1.86,121.95
2014,1,31,15,5.25,59.06,0,99.32,1.81,111.02
2014,1,31,16,5.98,74,0,99.33,1.68,96.93
2014,1,31,17,5.13,71.12,0,99.36,2.02,81.56
2014,1,31,18,5,72.5,0,99.39,2.28,75.92
2014,1,31,19,4.76,72.88,0,99.4,2.38,74.18
2014,1,31,20,4.52,73.88,0,99.38,2.61,71.67
2014,1,31,21,4.27,75.62,0,99.36,2.81,68.44
2014,1,31,22,4.15,77.94,0,99.33,3.07,61.41
2014,1,31,23,4.03,80.69,0,99.3,3.59,48.71
2014,2,1,0,3.85,82.62,0,99.27,4.42,42.42
2014,2,1,1,3.66,82.12,0,99.25,5.13,44.69
2014,2,1,2,3.54,81.56,0,99.23,5.81,49.09
2014,2,1,3,3.36,80.81,0,99.19,6.63,53.97
2014,2,1,4,3.23,80.12,0,99.17,6.81,58.28
2014,2,1,5,3.17,82.12,0,99.2,6.12,60.98
2014,2,1,6,3.11,80.12,0,99.19,6.94,60.55
2014,2,1,7,3.11,74.5,0,99.2,7.11,60.68
2014,2,1,8,3.17,64.88,0,99.21,6.1,61.3
2014,2,1,9,3.48,59.81,0,99.19,5.2,61.43
2014,2,1,10,3.85,53.75,0,99.14,5.29,67.95
2014,2,1,11,4.03,46.44,0,99.11,5.19,77.83
2014,2,1,12,3.97,42.31,0,99.05,4.57,81.44
2014,2,1,13,4.03,41.88,0,98.99,3.85,77.23
2014,2,1,14,4.39,46.75,0,98.98,2.64,70.65
2014,2,1,15,5.19,59.44,0,98.98,2.04,66.97
2014,2,1,16,4.33,53.5,0,98.99,1.24,59.41
2014,2,1,17,3.91,50.56,0,98.99,1.07,42.92
2014,2,1,18,3.97,54.06,0,98.93,2.05,49.64
2014,2,1,19,3.97,54.75,0,98.92,2.04,50.45
2014,2,1,20,3.97,57.5,0,98.91,2.53,53.41
2014,2,1,21,4.21,65.88,0,98.84,4.23,58.98
2014,2,1,22,4.21,69.44,0,98.72,6.38,61.4
2014,2,1,23,3.91,68.88,0,98.61,7.69,60.93
2014,2,2,0,3.78,70.81,0,98.55,7.87,65.34
2014,2,2,1,3.78,72.19,0,98.56,7.67,72.21
2014,2,2,2,3.72,72,0,98.54,7.32,76.73
2014,2,2,3,3.72,72.94,0,98.51,7.11,77.89
2014,2,2,4,3.6,72.88,0,98.45,7.24,76.46
2014,2,2,5,3.54,72.81,0,98.45,7.21,78.88
2014,2,2,6,3.48,73.62,0,98.51,6.79,83.86
2014,2,2,7,3.48,71.94,0,98.58,6.49,87.93
2014,2,2,8,3.42,62.94,0,98.61,6.07,88.97
2014,2,2,9,3.48,55.44,0,98.6,5.26,88.3
2014,2,2,10,3.72,53.56,0,98.59,4.79,84.29
2014,2,2,11,4.03,54.56,0,98.55,4.25,83.46
2014,2,2,12,4.27,56.06,0,98.48,3.88,82.13
2014,2,2,13,4.46,57.56,0,98.41,3.96,78.98
2014,2,2,14,4.64,61.81,0,98.34,4.6,74.15
2014,2,2,15,4.82,68.06,0,98.29,5.29,72.39
2014,2,2,16,4.58,71.44,0,98.26,5.44,72.35
2014,2,2,17,4.27,72.19,0,98.29,5.17,71.76
2014,2,2,18,4.15,71.5,0,98.34,4.76,70.85
2014,2,2,19,3.97,70.94,0,98.39,4.54,68.38
2014,2,2,20,3.85,71,0,98.4,4.69,65.06
2014,2,2,21,3.66,71.88,0,98.39,5.16,63.55
2014,2,2,22,3.48,72.88,0,98.37,5.77,64.93
2014,2,2,23,3.23,74.25,0,98.35,6.3,67.16
2014,2,3,0,3.11,76.06,0,98.33,6.68,69.95
2014,2,3,1,2.99,77.38,0,98.31,7.01,72.21
2014,2,3,2,2.87,78.94,0,98.29,7.14,73.79
2014,2,3,3,2.81,80.31,0,98.28,7.14,75.1
2014,2,3,4,2.75,81.38,0,98.28,7.21,77.09
2014,2,3,5,2.75,81.81,0,98.32,7.32,80.23
2014,2,3,6,2.75,80.44,0,98.37,7.31,83
2014,2,3,7,2.81,76.94,0,98.41,6.84,86.2
2014,2,3,8,3.05,68.69,0,98.45,5.6,88.88
2014,2,3,9,3.36,61.44,0,98.49,4.89,94.4
2014,2,3,10,3.91,58.44,0,98.5,4.68,104.31
2014,2,3,11,5,64.88,0,98.48,3.98,115.06
2014,2,3,12,5.43,65.5,0,98.44,3.5,113.25
2014,2,3,13,5.49,63.62,0.01,98.42,3.16,109.38
2014,2,3,14,5.43,61.69,0.01,98.42,2.88,105.28
2014,2,3,15,5.25,61.25,0,98.42,2.66,100.15
2014,2,3,16,5.74,73.88,0,98.45,2.34,93.06
2014,2,3,17,4.76,69.44,0,98.48,2.13,82.82
2014,2,3,18,4.39,68.81,0,98.52,2.24,73.97
2014,2,3,19,4.21,71,0,98.55,2.68,72.15
2014,2,3,20,4.03,74.38,0,98.59,3.35,75.54
2014,2,3,21,3.91,76.94,0,98.64,4.34,83.08
2014,2,3,22,3.72,78.19,0,98.68,4.83,88.42
2014,2,3,23,3.6,78.56,0,98.72,4.94,85.19
2014,2,4,0,3.48,78.19,0,98.76,5.12,82.81
2014,2,4,1,3.36,77.62,0.04,98.8,5.3,81.77
2014,2,4,2,3.17,77,0.04,98.83,5.54,79.61
2014,2,4,3,3.05,76.5,0.04,98.84,5.78,78.29
2014,2,4,4,2.87,76.69,0,98.87,5.82,77.51
2014,2,4,5,2.81,77.75,0,98.91,5.95,77.5
2014,2,4,6,2.75,79.31,0,98.94,6.18,78.18
2014,2,4,7,2.87,77.06,0,98.98,6.16,78.29
2014,2,4,8,2.99,64.06,0,99.02,4.99,76.7
2014,2,4,9,3.3,58.75,0,99.04,4.04,74.16
2014,2,4,10,2.93,39.31,0,99.05,3.9,79.86
2014,2,4,11,2.81,34.38,0,99.04,3.17,76.75
2014,2,4,12,2.81,32.19,0,99.01,2.57,71.57
2014,2,4,13,2.81,31.19,0,98.97,2.34,63.61
2014,2,4,14,2.81,31.12,0,98.96,2.11,53.6
2014,2,4,15,2.93,33.56,0,98.95,2.26,48.22
2014,2,4,16,4.21,55.69,0,98.97,2.14,33.69
2014,2,4,17,3.05,48.31,0,99,2.51,21.2
2014,2,4,18,2.93,49.94,0,99.03,2.93,23.28
2014,2,4,19,2.81,52.25,0,99.05,3.2,28.76
2014,2,4,20,2.81,54.25,0,99.08,3.33,36.04
2014,2,4,21,2.75,55.94,0,99.09,3.44,47.48
2014,2,4,22,2.69,57.25,0,99.1,3.59,58.07
2014,2,4,23,2.62,57.88,0,99.08,3.62,66.31
2014,2,5,0,2.56,59.38,0,99.07,3.67,72.14
2014,2,5,1,2.56,61.94,0,99.07,3.79,76.54
2014,2,5,2,2.62,64.31,0,99.06,3.82,80.58
2014,2,5,3,2.62,66.06,0,99.04,3.74,84.37
2014,2,5,4,2.62,66.56,0,99.03,3.66,87.31
2014,2,5,5,2.62,66.81,0,99.03,3.45,90.78
2014,2,5,6,2.56,65,0,99.05,3.21,92.65
2014,2,5,7,2.81,67.75,0,99.09,3.01,93.12
2014,2,5,8,2.93,55.94,0,99.12,2.4,91.68
2014,2,5,9,2.87,43.75,0,99.13,1,75.1
2014,2,5,10,2.99,36.94,0,99.12,0.41,344.36
2014,2,5,11,3.48,39.81,0,99.07,0.76,307.93
2014,2,5,12,3.91,42.31,0,98.99,1.21,291.94
2014,2,5,13,4.21,44.25,0,98.91,1.57,291.96
2014,2,5,14,4.33,46.12,0,98.84,1.76,298.61
2014,2,5,15,4.52,49.81,0,98.8,1.94,306.64
2014,2,5,16,5.55,69.94,0,98.79,2.51,309.44
2014,2,5,17,4.76,71.5,0,98.82,3.06,315.52
2014,2,5,18,4.52,73,0,98.85,3.22,325.27
2014,2,5,19,4.46,74.44,0,98.87,3.23,335.6
2014,2,5,20,4.33,75.69,0,98.87,3.15,345.62
2014,2,5,21,4.33,76.5,0,98.86,3.01,356.28
2014,2,5,22,4.27,77.69,0,98.84,2.9,8.04
2014,2,5,23,4.15,78.19,0,98.81,2.81,19.29
2014,2,6,0,3.91,76.5,0,98.82,2.64,28.31
2014,2,6,1,3.78,75.12,0,98.84,2.38,35.36
2014,2,6,2,3.66,74.44,0,98.84,2.08,38.9
2014,2,6,3,3.66,74.88,0,98.84,1.87,39.22
2014,2,6,4,3.6,75.88,0,98.83,1.84,41.73
2014,2,6,5,3.6,77.75,0,98.82,2,47.38
2014,2,6,6,3.6,80.06,0,98.83,2.18,54.03
2014,2,6,7,3.78,81.31,0,98.83,2.28,60.72
2014,2,6,8,4.03,71.25,0,98.83,2,64.74
2014,2,6,9,3.97,57.44,0,98.82,1.14,50.3
2014,2,6,10,4.27,50.5,0,98.82,0.58,331.7
2014,2,6,11,4.46,48.06,0,98.79,1.56,284.18
2014,2,6,12,4.58,47,0,98.72,2.3,270.39
2014,2,6,13,4.7,46.88,0,98.65,2.42,260.14
2014,2,6,14,4.76,47.75,0,98.6,2.69,251.88
2014,2,6,15,4.88,51.44,0,98.59,3.3,252.34
2014,2,6,16,5.62,68.12,0,98.61,3.62,257.16
2014,2,6,17,5.13,77.69,0,98.64,3.24,263.77
2014,2,6,18,4.88,75.88,0,98.66,2.42,269.63
2014,2,6,19,4.88,75.44,0,98.67,1.48,270.3
2014,2,6,20,4.82,73.56,0,98.68,0.54,231.47
2014,2,6,21,4.82,78.12,0,98.67,1.22,141.51
2014,2,6,22,4.88,85.06,0,98.67,2.17,132.23
2014,2,6,23,4.94,89.94,0,98.67,2.77,126.97
2014,2,7,0,4.94,92.88,0,98.67,3.19,120.65
2014,2,7,1,5,94.69,0,98.67,3.5,113.7
2014,2,7,2,5,95.56,0,98.68,3.69,106.75
2014,2,7,3,5,95.88,0,98.68,3.78,101.68
2014,2,7,4,5,96.44,0,98.69,3.85,99.83
2014,2,7,5,5.07,98.56,0,98.71,3.82,101.08
2014,2,7,6,5.07,100,0,98.74,3.89,102.28
2014,2,7,7,5.19,99.75,0,98.79,3.91,99.09
2014,2,7,8,5.55,83.69,0,98.86,3.26,93.16
2014,2,7,9,5.8,72.12,0,98.91,2.51,115.21
2014,2,7,10,5.74,60.62,0,98.94,2.46,141.71
2014,2,7,11,5.68,55.38,0,98.94,2.25,156.28
2014,2,7,12,5.68,52.44,0,98.89,2.25,177.02
2014,2,7,13,5.74,51.25,0,98.85,2.31,201.26
2014,2,7,14,5.8,52.12,0,98.85,2.55,220.28
2014,2,7,15,5.98,55.75,0,98.87,2.82,238.11
2014,2,7,16,6.84,71.81,0,98.91,3.22,257.68
2014,2,7,17,6.23,81.19,0,98.97,3.33,269.33
2014,2,7,18,6.16,84,0,99.03,2.89,274.82
2014,2,7,19,6.29,87,0,99.08,2.21,276.09
2014,2,7,20,6.41,89.44,0,99.11,1.49,269.7
2014,2,7,21,6.47,89.88,0,99.14,0.98,241.79
2014,2,7,22,6.59,94.12,0,99.15,1.02,196.07
2014,2,7,23,6.59,100,0,99.14,1.47,160.41
2014,2,8,0,6.59,100,0,99.12,2.16,144.41
2014,2,8,1,6.59,100,0,99.11,2.79,139.89
2014,2,8,2,6.53,100,0,99.1,3.23,138.53
2014,2,8,3,6.35,100,0,99.09,3.62,135.96
2014,2,8,4,6.23,100,0,99.09,3.99,132.15
2014,2,8,5,6.04,100,0,99.11,4.4,128.07
2014,2,8,6,5.8,100,0,99.13,4.77,124.52
2014,2,8,7,5.68,99.44,0,99.14,4.79,124.49
2014,2,8,8,5.86,90.31,0,99.17,4.12,131.77
2014,2,8,9,6.16,83.81,0,99.19,4.18,152.24
2014,2,8,10,6.65,78.81,0,99.19,5.04,171.27
2014,2,8,11,6.96,75.38,0,99.15,5.69,180
2014,2,8,12,7.14,72.38,0,99.07,6.09,184.93
2014,2,8,13,7.26,70.94,0,99,6.56,188
2014,2,8,14,7.39,70.88,0,98.96,6.9,189.52
2014,2,8,15,7.45,72.75,0,98.94,7,189.58
2014,2,8,16,7.57,79.5,0,98.94,6.36,187.55
2014,2,8,17,7.51,91.19,0,98.96,6.45,182.78
2014,2,8,18,7.51,94.12,0,98.96,6.79,176.51
2014,2,8,19,7.57,94.81,0,98.96,6.9,171.93
2014,2,8,20,7.63,95.56,0.05,98.95,6.9,169.89
2014,2,8,21,7.69,95.88,0.06,98.94,7.03,170.6
2014,2,8,22,7.69,96.44,0.08,98.91,7.19,172.13
2014,2,8,23,7.75,96.75,0.05,98.87,7.55,173.94
2014,2,9,0,7.87,96.88,0.05,98.87,7.72,176.75
2014,2,9,1,8.06,96.12,0.07,98.85,7.98,180.17
2014,2,9,2,8.18,95.88,0.08,98.84,8.06,182.83
2014,2,9,3,8.18,95.69,0.09,98.82,8.29,186.27
2014,2,9,4,8,96.5,0.1,98.82,8.11,189.25
2014,2,9,5,7.63,99.38,0.09,98.83,7.53,189.37
2014,2,9,6,7.51,99,0.13,98.83,8.2,191.6
2014,2,9,7,7.75,96.12,0.19,98.85,8.12,193.18
2014,2,9,8,8.48,91.81,0.24,98.88,7.79,195.76
2014,2,9,9,8.3,83.94,0.28,98.89,9.03,199.94
2014,2,9,10,7.81,74.88,0.26,98.89,9.64,202.14
2014,2,9,11,7.51,72.56,0.19,98.88,9.55,203.33
2014,2,9,12,7.39,70.88,0.13,98.83,9.37,202.91
2014,2,9,13,7.32,70.06,0.1,98.78,8.95,200.44
2014,2,9,14,7.32,70.25,0.07,98.74,8.56,196.38
2014,2,9,15,7.45,72.56,0.05,98.72,8.14,191.12
2014,2,9,16,7.57,78.44,0.03,98.71,7.84,184.63
2014,2,9,17,7.57,86.75,0.03,98.71,8.29,178.76
2014,2,9,18,7.69,89.56,0.03,98.72,8.59,176.3
2014,2,9,19,7.81,90.62,0.03,98.71,9.21,176.89
2014,2,9,20,7.93,91.31,0.01,98.66,9.38,177.37
2014,2,9,21,8,94.12,0.02,98.63,8.51,177.74
2014,2,9,22,8.18,96.81,0.03,98.62,7.84,177.6
2014,2,9,23,8.3,95.88,0.06,98.57,8.37,181.02
2014,2,10,0,8.36,94.94,0.06,98.52,9.08,185.38
2014,2,10,1,8.42,95.12,0.05,98.53,8.98,191.44
2014,2,10,2,8.42,95.81,0.04,98.49,8.82,197.63
2014,2,10,3,8.24,94.44,0.05,98.5,8.61,208.82
2014,2,10,4,7.93,91.56,0.01,98.52,8.23,216.39
2014,2,10,5,7.63,89.81,0,98.55,7.99,220.92
2014,2,10,6,7.26,89.44,0,98.59,7.4,222.65
2014,2,10,7,7.26,88.69,0,98.64,6.68,221.3
2014,2,10,8,7.69,84.06,0,98.68,5.52,216.77
2014,2,10,9,7.57,76.44,0,98.72,5.75,223.9
2014,2,10,10,7.2,67.69,0.01,98.77,5.73,232.15
2014,2,10,11,7.08,62.69,0.01,98.78,5.08,233.82
2014,2,10,12,7.08,60.31,0,98.75,4.8,228.3
2014,2,10,13,7.14,59.19,0.01,98.71,4.76,225.2
2014,2,10,14,7.14,59.19,0,98.7,4.7,222.24
2014,2,10,15,7.14,61.44,0,98.71,4.65,216.95
2014,2,10,16,7.57,71.12,0,98.73,4.47,210.11
2014,2,10,17,7.32,86.81,0,98.78,4.29,206.05
2014,2,10,18,7.26,91.62,0,98.83,4.24,203.45
2014,2,10,19,7.32,95.69,0,98.88,3.49,198.92
2014,2,10,20,7.45,100,0,98.91,3.36,185.47
2014,2,10,21,7.51,100,0,98.91,3.69,175.39
2014,2,10,22,7.57,100,0,98.92,4.13,174.79
2014,2,10,23,7.63,100,0,98.93,4.22,171.04
2014,2,11,0,7.57,100,0,98.95,4.19,164.74
2014,2,11,1,7.45,100,0,98.97,4.23,156.84
2014,2,11,2,7.32,100,0,98.97,4.26,150.48
2014,2,11,3,7.2,100,0,98.96,4.35,144.14
2014,2,11,4,7.02,100,0,98.96,4.54,138.98
2014,2,11,5,6.84,100,0,98.97,4.56,135.49
2014,2,11,6,6.65,100,0,98.99,4.64,128.71
2014,2,11,7,6.53,95.81,0,99.01,4.45,125.14
2014,2,11,8,6.59,87.69,0,99.03,3.75,130.02
2014,2,11,9,6.9,76.88,0,99.05,3.94,157
2014,2,11,10,7.14,68.75,0,99.04,4.16,174.72
2014,2,11,11,7.32,64.25,0,99.02,3.95,181.25
2014,2,11,12,7.45,61.06,0,98.95,3.75,184.42
2014,2,11,13,7.57,59.88,0,98.88,3.71,187.38
2014,2,11,14,7.63,60.31,0,98.85,3.82,190.37
2014,2,11,15,7.69,62.75,0,98.84,3.93,192.52
2014,2,11,16,8.18,73.25,0,98.84,3.66,198.05
2014,2,11,17,7.75,85.25,0,98.84,3.18,202.66
2014,2,11,18,7.57,88.56,0,98.85,2.86,195.21
2014,2,11,19,7.63,93.38,0,98.87,2.88,187.65
2014,2,11,20,7.69,99.12,0,98.91,3.03,179.56
2014,2,11,21,7.69,100,0,98.91,3.29,164.32
2014,2,11,22,7.69,100,0,98.89,3.72,150.85
2014,2,11,23,7.51,100,0,98.86,4.08,139.97
2014,2,12,0,7.32,100,0,98.84,4.29,133.82
2014,2,12,1,7.08,100,0,98.81,4.49,131.4
2014,2,12,2,6.84,100,0,98.76,4.75,127.85
2014,2,12,3,6.71,100,0,98.71,4.84,126.07
2014,2,12,4,6.71,100,0,98.71,4.69,127.56
2014,2,12,5,6.71,100,0,98.72,4.67,130.59
2014,2,12,6,6.77,100,0,98.74,4.77,132.28
2014,2,12,7,6.9,99.44,0,98.77,4.68,131.82
2014,2,12,8,7.2,90.5,0,98.8,4.45,137.92
2014,2,12,9,7.69,83.38,0,98.8,6.37,162.21
2014,2,12,10,7.87,74.25,0,98.79,7.37,171.1
2014,2,12,11,7.93,67.25,0,98.75,7.63,175.66
2014,2,12,12,7.93,63.25,0,98.68,7.65,179.41
2014,2,12,13,8,61.81,0,98.61,7.5,181.67
2014,2,12,14,8,62.25,0,98.58,7.25,181.48
2014,2,12,15,7.93,64.25,0,98.55,6.95,180.84
2014,2,12,16,8.06,71.12,0,98.56,6.16,180.95
2014,2,12,17,7.93,87.44,0,98.58,5.32,179.16
2014,2,12,18,7.75,95.62,0,98.61,4.79,173.06
2014,2,12,19,7.75,100,0,98.61,4.46,165.79
2014,2,12,20,7.75,100,0,98.6,4.28,156.43
2014,2,12,21,7.69,100,0,98.59,4.26,146.14
2014,2,12,22,7.63,100,0,98.56,4.42,138.73
2014,2,12,23,7.51,100,0.01,98.53,4.76,135.87
2014,2,13,0,7.39,100,0.01,98.5,4.99,135.19
2014,2,13,1,7.26,100,0,98.49,5.06,136.25
2014,2,13,2,7.2,100,0,98.46,5.03,140.67
2014,2,13,3,7.2,100,0,98.45,5.04,146.51
2014,2,13,4,7.14,100,0.01,98.44,5.06,150.39
2014,2,13,5,7.14,100,0.04,98.45,4.79,151.89
2014,2,13,6,7.14,100,0.21,98.46,4.67,152.49
2014,2,13,7,7.39,98.06,0.58,98.47,4.67,151.93
2014,2,13,8,7.93,89.19,0.79,98.49,4.22,150.64
2014,2,13,9,8.06,83.62,0.97,98.48,4.82,163.33
2014,2,13,10,8,78.31,1.34,98.46,5.26,173.87
2014,2,13,11,7.93,75.69,1.1,98.43,5.17,178.44
2014,2,13,12,7.87,75.25,0.81,98.37,4.94,181.36
2014,2,13,13,7.87,76,0.45,98.33,4.65,183.85
2014,2,13,14,8,79.75,0.35,98.31,3.99,183.93
2014,2,13,15,8.24,85.69,0.4,98.31,3.16,182.13
2014,2,13,16,8.36,93.56,0.54,98.32,2.54,177.53
2014,2,13,17,8,95.69,0.63,98.34,2.39,175.13
2014,2,13,18,7.93,96.69,0.84,98.35,2.26,176.04
2014,2,13,19,7.93,97.19,1.15,98.33,2.14,176.45
2014,2,13,20,7.93,97.44,0.31,98.31,2.18,181.44
2014,2,13,21,7.87,97.69,0.46,98.29,2.16,181.45
2014,2,13,22,7.81,97.69,0.43,98.26,2.13,180
2014,2,13,23,7.75,97,0.39,98.24,1.95,180.69
2014,2,14,0,7.57,95.31,0.37,98.2,1.65,175.64
2014,2,14,1,7.45,94,0.33,98.17,1.29,165.29
2014,2,14,2,7.26,91,0.3,98.14,0.73,170.13
2014,2,14,3,7.02,88.75,0.24,98.11,0.36,218.85
2014,2,14,4,6.84,87,0.19,98.08,0.25,311.19
2014,2,14,5,6.71,88.38,0.13,98.06,0.99,11.4
2014,2,14,6,6.65,89.94,0.09,98.03,1.44,43.68
2014,2,14,7,6.84,92.75,0.04,98.04,1.87,81.33
2014,2,14,8,7.2,88.69,0.01,98.02,1.59,88.32
2014,2,14,9,6.84,77.25,0.03,97.98,0.88,63.66
2014,2,14,10,6.47,67.75,0.11,97.98,0.4,310.24
2014,2,14,11,6.35,62.62,0.13,97.96,1.74,268.97
2014,2,14,12,6.35,61.62,0.15,97.91,2.9,266.75
2014,2,14,13,6.41,63.06,0.24,97.87,3.52,269.36
2014,2,14,14,6.41,65.62,0.25,97.85,3.71,274.35
2014,2,14,15,6.53,68.25,0.16,97.83,3.47,280.63
2014,2,14,16,6.96,76.31,0.07,97.82,2.85,287.54
2014,2,14,17,6.59,81.5,0.03,97.84,2.33,289.84
2014,2,14,18,6.23,79.81,0.01,97.85,2.05,289.4
2014,2,14,19,6.1,80.81,0.01,97.87,1.76,295.54
2014,2,14,20,6.1,81.12,0,97.88,1.38,313.63
2014,2,14,21,6.1,82,0,97.88,1.22,340.99
2014,2,14,22,6.04,86,0,97.87,1.38,2.6
2014,2,14,23,6.04,91.25,0,97.88,1.71,13.21
2014,2,15,0,5.98,94.31,0,97.89,2.07,20.56
2014,2,15,1,5.92,97.62,0,97.9,2.38,27.32
2014,2,15,2,5.8,100,0,97.9,2.68,30.91
2014,2,15,3,5.74,100,0,97.9,2.97,31.35
2014,2,15,4,5.68,100,0,97.91,3.22,28.55
2014,2,15,5,5.62,100,0,97.95,3.42,26.33
2014,2,15,6,5.55,100,0,98,3.71,25.81
2014,2,15,7,5.74,100,0,98.08,3.99,25.41
2014,2,15,8,6.16,89.19,0,98.13,3.89,23.06
2014,2,15,9,6.35,76.06,0,98.17,5.77,18.73
2014,2,15,10,6.23,66.94,0.01,98.2,6.25,20.5
2014,2,15,11,6.23,62.75,0.01,98.22,6.08,18.74
2014,2,15,12,6.29,60.94,0.01,98.21,5.82,13.83
2014,2,15,13,6.29,60.5,0.01,98.21,5.81,7.8
2014,2,15,14,6.29,60.69,0,98.25,6.11,3.59
2014,2,15,15,6.23,62.44,0,98.3,6.48,1.66
2014,2,15,16,6.41,68.81,0,98.37,6.29,359.36
2014,2,15,17,6.35,83,0,98.46,6.51,355.38
2014,2,15,18,6.16,89.12,0,98.55,6.84,356.27
2014,2,15,19,6.1,93.06,0,98.61,6.95,0.77
2014,2,15,20,6.1,97.38,0,98.66,7.07,5.84
2014,2,15,21,6.1,100,0,98.69,7,9.57
2014,2,15,22,6.04,100,0,98.71,6.75,13.38
2014,2,15,23,5.92,100,0,98.73,6.16,18.8
2014,2,16,0,5.8,100,0,98.76,5.56,25.63
2014,2,16,1,5.68,99.44,0,98.77,5.13,31.49
2014,2,16,2,5.55,100,0,98.77,4.9,35.52
2014,2,16,3,5.49,100,0,98.79,4.83,37.83
2014,2,16,4,5.43,100,0,98.84,4.75,40.13
2014,2,16,5,5.31,100,0,98.89,4.77,42.02
2014,2,16,6,5.25,100,0,98.93,4.86,45.91
2014,2,16,7,5.25,94.94,0,98.98,4.9,51.28
2014,2,16,8,5.37,83.56,0,99.02,4.77,55.27
2014,2,16,9,5.49,71.12,0,99.03,4.57,54.46
2014,2,16,10,5.49,59.56,0,99.03,4.42,43.14
2014,2,16,11,5.49,52.81,0,99.02,4.3,28.98
2014,2,16,12,5.43,49.31,0,98.99,4.32,18.24
2014,2,16,13,5.37,47.25,0,98.96,4.42,11.43
2014,2,16,14,5.31,46.31,0,98.95,4.45,8.07
2014,2,16,15,5.25,47.38,0,98.95,4.36,5.14
2014,2,16,16,6.04,60.62,0,98.98,3.97,355.37
2014,2,16,17,5.74,73.06,0,99.03,3.94,346.02
2014,2,16,18,5.25,73.94,0,99.07,4.02,347.1
2014,2,16,19,5.13,75,0,99.11,3.93,353.03
2014,2,16,20,4.94,75.38,0,99.14,3.71,2.65
2014,2,16,21,4.76,75.25,0,99.16,3.47,15.66
2014,2,16,22,4.64,75.31,0,99.15,3.31,30.31
2014,2,16,23,4.52,76.12,0,99.15,3.35,40.75
2014,2,17,0,4.46,77.31,0,99.14,3.44,47.48
2014,2,17,1,4.39,78.69,0,99.15,3.55,53.23
2014,2,17,2,4.33,80.06,0,99.14,3.66,58.34
2014,2,17,3,4.27,81.31,0,99.13,3.78,64.44
2014,2,17,4,4.21,82.25,0,99.14,3.91,70.88
2014,2,17,5,4.15,83.12,0,99.16,3.97,79
2014,2,17,6,4.09,84.38,0,99.19,4.08,87.59
2014,2,17,7,4.58,82.69,0,99.22,4.11,94.26
2014,2,17,8,4.7,65.19,0,99.26,3.35,98.05
2014,2,17,9,5.13,59.62,0,99.28,2.25,102.83
2014,2,17,10,4.88,43.88,0,99.29,1.71,132.59
2014,2,17,11,5,39.88,0,99.28,1.37,160.63
2014,2,17,12,5.25,39.94,0,99.24,1.38,196.79
2014,2,17,13,5.62,41.56,0,99.21,1.84,222.08
2014,2,17,14,5.86,43.56,0,99.19,2.34,230.29
2014,2,17,15,5.98,46.5,0,99.2,2.65,230.63
2014,2,17,16,6.84,60.06,0,99.23,2.86,230.31
2014,2,17,17,6.23,68.31,0,99.26,2.97,227.24
2014,2,17,18,5.68,67.56,0,99.32,2.84,216.62
2014,2,17,19,5.62,69.75,0,99.36,2.8,202.99
